match_id,match_type,ball_type,status,start_datetime,city_id,city_name,ground_id,ground_name,tournament_id,tournament_name,tournament_category,tournament_round_id,tournament_round_name,team_a_id,team_a_name,team_a_summary,team_b_id,team_b_name,team_b_summary,toss_details,win_by,winning_team,match_result,is_dl,is_super_over,fetched_at
300436,Limited Overs,TENNIS,past,2019-03-09T04:30:00.000Z,3003,Pune,20374,DonBoscoSchool Yerwada,44457,3rd Edition Of Box Cricket 2019,,68635,Round Two,276386,WK Terminators,32/7,276365,Team Mirage,35/3,Toss: Team Mirage opt to field,4 wickets,Team Mirage,Resulted,0,0,2026-08-31T09:04:12.585351+00:00
300902,Limited Overs,TENNIS,past,2019-03-09T08:29:52.000Z,3003,Pune,20374,DonBoscoSchool Yerwada,44457,3rd Edition Of Box Cricket 2019,,68636,Quarter Final,276366,Report Warriors,61/4,276365,Team Mirage,61/5,Toss: Team Mirage opt to field,Super Over,Team Mirage,Resulted,0,0,2026-08-31T09:04:12.585351+00:00
301083,Limited Overs,TENNIS,past,2019-03-09T10:01:17.000Z,3003,Pune,20374,DonBoscoSchool Yerwada,44457,3rd Edition Of Box Cricket 2019,,68637,Semi Final,67215,WK Patriots,27/7,276365,Team Mirage,28/1,Toss: Team Mirage opt to field,6 wickets,Team Mirage,Resulted,0,0,2026-08-31T09:04:12.585351+00:00
301200,Limited Overs,TENNIS,past,2019-03-09T11:23:48.000Z,3003,Pune,20374,DonBoscoSchool Yerwada,44457,3rd Edition Of Box Cricket 2019,,68638,Final,276116,WK Dream 11 Cricket Blast,23/7,276365,Team Mirage,25/1,Toss: Team Mirage opt to field,6 wickets,Team Mirage,Resulted,0,0,2026-08-31T09:04:12.585351+00:00
343615,Limited Overs,TENNIS,past,2019-04-13T03:11:24.000Z,3003,Pune,5062,Vision Cricket Academy Ground,50933,KOMTI CHAMPIONS LEAGUE 2019,,81925,League Matches,315344,Khadki Royals (KCL),51/4,315346,KOMTI WARRIORS (KCL),52/2,Toss: KOMTI WARRIORS (KCL) opt to field,8 wickets,KOMTI WARRIORS (KCL),Resulted,0,0,2026-08-31T09:04:12.585351+00:00
343619,Limited Overs,TENNIS,past,2019-04-13T05:12:56.000Z,3003,Pune,5062,Vision Cricket Academy Ground,50933,KOMTI CHAMPIONS LEAGUE 2019,,81925,League Matches,315344,Khadki Royals (KCL),82/4,315343,Tiger (KCL),56/6,Toss: Khadki Royals (KCL) opt to bat,26 runs,Khadki Royals (KCL),Resulted,0,0,2026-08-31T09:04:12.585351+00:00
343629,Limited Overs,TENNIS,past,2019-04-13T08:06:20.000Z,3003,Pune,5062,Vision Cricket Academy Ground,50933,KOMTI CHAMPIONS LEAGUE 2019,,81925,League Matches,315344,Khadki Royals (KCL),88/2,314683,MAVALA (KCL),68/2,Toss: Khadki Royals (KCL) opt to bat,20 runs,Khadki Royals (KCL),Resulted,0,0,2026-08-31T09:04:12.585351+00:00
343637,Limited Overs,TENNIS,past,2019-04-14T05:29:03.000Z,3003,Pune,5062,Vision Cricket Academy Ground,50933,KOMTI CHAMPIONS LEAGUE 2019,,81925,League Matches,315350,Master blaster (KCL),41/6,315344,Khadki Royals (KCL),42/1,Toss: Master blaster (KCL) opt to bat,9 wickets,Khadki Royals (KCL),Resulted,0,0,2026-08-31T09:04:12.585351+00:00
347030,Limited Overs,TENNIS,past,2019-04-14T07:58:00.000Z,3003,Pune,5062,Vision Cricket Academy Ground,50933,KOMTI CHAMPIONS LEAGUE 2019,,82484,Qualifier 1,315350,Master blaster (KCL),59/4,315344,Khadki Royals (KCL),60/2,Toss: Master blaster (KCL) opt to bat,8 wickets,Khadki Royals (KCL),Resulted,0,0,2026-08-31T09:04:12.585351+00:00
347372,Limited Overs,TENNIS,past,2019-04-14T11:28:01.000Z,3003,Pune,5062,Vision Cricket Academy Ground,50933,KOMTI CHAMPIONS LEAGUE 2019,,82577,Final,315344,Khadki Royals (KCL),47/5,315346,KOMTI WARRIORS (KCL),48/4,Toss: Khadki Royals (KCL) opt to bat,6 wickets,KOMTI WARRIORS (KCL),Resulted,0,0,2026-08-31T09:04:12.585351+00:00
722256,Limited Overs,TENNIS,past,2020-01-18T04:13:57.000Z,3003,Pune,2071,Legend Cricket Academy Ground,100143,EPAM Premier League,,168614,League Matches,569798,EPAM Sky Blue,91/3,569797,EPAM Red,64/2,Toss: EPAM Red opt to field,27 runs,EPAM Sky Blue,Resulted,0,0,2026-08-31T09:04:12.585351+00:00
723149,Limited Overs,TENNIS,past,2020-01-18T07:01:58.000Z,3003,Pune,2071,Legend Cricket Academy Ground,100143,EPAM Premier League,,168614,League Matches,569795,Team Badlapur,88/5,569798,EPAM Sky Blue,82/3,Toss: Team Badlapur opt to bat,6 runs,Team Badlapur,Resulted,0,0,2026-08-31T09:04:12.585351+00:00
723568,Limited Overs,TENNIS,past,2020-01-18T09:22:09.000Z,3003,Pune,2071,Legend Cricket Academy Ground,100143,EPAM Premier League,,171183,Final,569798,EPAM Sky Blue,74/7,569796,Team Mirzapur,75/5,Toss: Team Mirzapur opt to field,5 wickets,Team Mirzapur,Resulted,0,0,2026-08-31T09:04:12.585351+00:00
757082,Limited Overs,TENNIS,past,2020-02-01T02:22:10.000Z,3003,Pune,96551,Baner Pune,106321,Mini KPL 2020,,180051,League Matches,315344,Khadki Royals (KCL),71/4,315346,KOMTI WARRIORS (KCL),72/3,Toss: Khadki Royals (KCL) opt to bat,13 wickets,KOMTI WARRIORS (KCL),Resulted,0,0,2026-08-31T09:04:12.585351+00:00
775964,Limited Overs,TENNIS,past,2020-02-08T06:14:16.000Z,3003,Pune,13721,Symbiosis Cricket Ground,108040,TechMahindra Premier League,,183179,League Matches,612902,TPL JAGUARS 2020,73/3,612901,TPL RHINOS 2020,68/8,Toss: TPL RHINOS 2020 opt to field,5 runs,TPL JAGUARS 2020,Resulted,0,0,2026-08-31T09:04:12.585351+00:00
