player_id,name,batting_matches,batting_runs,batting_sr,bowling_wickets,bowling_economy,fetched_at
1590015,Ankush Regundwar,154,660,114.98,101,8.87,2026-09-01T20:13:58.563532+00:00
2185969,Deepak Jadhav,13,30,60.0,13,5.67,2026-09-01T20:13:58.563532+00:00
3802331,Abhishek Nishad,7,44,141.94,7,12.0,2026-09-01T20:13:58.563532+00:00
4246816,Pramod Bavchikar,15,109,132.93,7,8.05,2026-09-01T20:13:58.563532+00:00
4580403,Kalpesh Soni,4,27,135.0,,,2026-09-01T20:13:58.563532+00:00
5379771,Ujval Mehta,37,200,122.7,14,7.47,2026-09-01T20:13:58.563532+00:00
10589490,Tejas Mudekar,9,85,130.77,14,9.36,2026-09-01T20:13:58.563532+00:00
16180153,Sandip katore,89,1062,176.41,37,10.25,2026-09-01T20:13:58.563532+00:00
16993605,Aashutosh Ajay Sharma,100,922,124.09,8,11.4,2026-09-01T20:13:58.563532+00:00
16994391,Sunil Kulkarni,82,781,137.26,64,8.65,2026-09-01T20:13:58.563532+00:00
20725715,Niranjan Ingole,17,26,68.42,20,7.27,2026-09-01T20:13:58.563532+00:00
24857709,Shreyash Naik,13,83,109.21,9,9.48,2026-09-01T20:13:58.563532+00:00
24858042,chetan keskar,69,245,80.86,8,10.38,2026-09-01T20:13:58.563532+00:00
24889477,Mayuresh Behere,44,540,149.17,11,11.68,2026-09-01T20:13:58.563532+00:00
25358833,Manoj Sathe,47,809,147.9,2,10.5,2026-09-01T20:13:58.563532+00:00
25474188,Pavan Zalani,9,90,126.76,2,15.14,2026-09-01T20:13:58.563532+00:00
25957882,Madhur maheshwari,28,550,200.73,22,7.12,2026-09-01T20:13:58.563532+00:00
28452112,Prasad khanderai (VC),4,18,66.67,2,9.5,2026-09-01T20:13:58.563532+00:00
30042042,Sopan Shelar,203,1509,140.63,113,9.38,2026-09-01T20:13:58.563532+00:00
30533056,Shiv Jirwankar,73,312,98.73,77,8.47,2026-09-01T20:13:58.563532+00:00
32358143,Piyush  sandhan,5,7,36.84,2,8.2,2026-09-01T20:13:58.563532+00:00
32358254,Ashish Biradar,28,219,106.83,6,11.54,2026-09-01T20:13:58.563532+00:00
33648379,Vivek Chaturvedi,37,367,147.98,10,12.56,2026-09-01T20:13:58.563532+00:00
34487194,Omkar Dnyanmote,13,105,120.69,1,8.33,2026-09-01T20:13:58.563532+00:00
34514683,Nikhil Jogdand,11,22,100.0,0,10.0,2026-09-01T20:13:58.563532+00:00
37011117,Zeeshan Ali,4,86,209.76,5,14.0,2026-09-01T20:13:58.563532+00:00
38717191,Atul Gupta,1,3,42.86,,,2026-09-01T20:13:58.563532+00:00
42581467,Onkar J,14,5,45.45,9,9.46,2026-09-01T20:13:58.563532+00:00
42960504,Mahesh Shinde,7,68,119.3,,,2026-09-01T20:13:58.563532+00:00
53517647,Kedar Pegdal,,,,,,2026-09-01T20:13:58.563532+00:00
