player_id,name,fetched_at
244661,Vishal Ganpat Gaikwad,2026-09-01T20:30:29.296971+00:00
281023,Gavhane Uddhav,2026-09-01T20:30:29.296971+00:00
506921,Vishal Patwardhan,2026-09-01T20:30:29.296971+00:00
1502819,Trideep Chouhan,2026-09-01T20:30:29.296971+00:00
1534915,Shubham Patil,2026-09-01T20:30:29.296971+00:00
1590015,Ankush Regundwar,2026-09-01T20:30:29.296971+00:00
1847399,Sangram T. Patil,2026-09-01T20:30:29.296971+00:00
2185969,Deepak Jadhav,2026-09-01T20:30:29.296971+00:00
2208259,VIPIN RATHORE,2026-09-01T20:30:29.296971+00:00
2256630,Satish Parmeshwar,2026-09-01T20:30:29.296971+00:00
2280619,Rohit baghel,2026-09-01T20:30:29.296971+00:00
2794162,Omprakash Shewale,2026-09-01T20:30:29.296971+00:00
3324645,Aniket Ambarte,2026-09-01T20:30:29.296971+00:00
3653955,Ashish Ranjan,2026-09-01T20:30:29.296971+00:00
3711778,Sandeep Maske,2026-09-01T20:30:29.296971+00:00
3802331,Abhishek Nishad,2026-09-01T20:30:29.296971+00:00
4246671,Ujjwal Kumar,2026-09-01T20:30:29.296971+00:00
4246816,Pramod Bavchikar,2026-09-01T20:30:29.296971+00:00
4369821,Mahesh Gurjal,2026-09-01T20:30:29.296971+00:00
4555420,Ritesh Patel,2026-09-01T20:30:29.296971+00:00
4580403,Kalpesh Soni,2026-09-01T20:30:29.296971+00:00
4580535,Gourav Nagar,2026-09-01T20:30:29.296971+00:00
4598685,Varun Rajwade,2026-09-01T20:30:29.296971+00:00
4957971,Tushar Kinhikar,2026-09-01T20:30:29.296971+00:00
5035752,Vikas Tiwari,2026-09-01T20:30:29.296971+00:00
5379771,Ujval Mehta,2026-09-01T20:30:29.296971+00:00
5903167,Naveen,2026-09-01T20:30:29.296971+00:00
6166382,Pradip Thite,2026-09-01T20:30:29.296971+00:00
7475651,Abhishek Patil,2026-09-01T20:30:29.296971+00:00
7564261,Mayur I,2026-09-01T20:30:29.296971+00:00
9211535,vaibhav vyas,2026-09-01T20:30:29.296971+00:00
10589490,Tejas Mudekar,2026-09-01T20:30:29.296971+00:00
10661158,Ajinkya ANIL Gharapurkar,2026-09-01T20:30:29.296971+00:00
11092582,ABHISHEK SHARMA,2026-09-01T20:30:29.296971+00:00
11332520,Sudhir Dhondge,2026-09-01T20:30:29.296971+00:00
13047279,Nitesh Sharma,2026-09-01T20:30:29.296971+00:00
13688611,Santanu Ghosh,2026-09-01T20:30:29.296971+00:00
13705587,Atharva Dharmik,2026-09-01T20:30:29.296971+00:00
14132636,Pravin Chaudhari,2026-09-01T20:30:29.296971+00:00
