player_id,fetched_at,batting_matches,batting_innings,batting_not_out,batting_runs,batting_highest,batting_avg,batting_sr,batting_thirties,batting_fifties,batting_hundreds,batting_fours,batting_sixes,batting_ducks,matches_won,matches_lost,bowling_matches,bowling_innings,bowling_overs,bowling_maidens,bowling_wickets,bowling_runs,bowling_best,bowling_3w,bowling_5w,bowling_economy,bowling_sr,bowling_avg,bowling_wides,bowling_noballs,bowling_dots,bowling_fours,bowling_sixes,fielding_matches,fielding_catches,fielding_caught_behind,fielding_run_outs,fielding_stumpings,fielding_assisted_run_outs,fielding_bye_runs,captain_matches,captain_toss_won,captain_win_pct,captain_loss_pct
1590015,2026-08-31T08:50:50.496028+00:00,154,83,21,660,52*,10.65,114.98,3,1,0,70,16,11,,,154,111,216.1,2,101,1917,5/13,9,1,8.87,12.84,18.98,83,8,524,173,83,154,29,0,10,0,3,,44,16,48.84,51.16
2185969,2026-08-31T08:50:50.496028+00:00,13,10,4,30,15*,5.0,60.0,0,0,0,1,1,1,,,13,10,12.0,0,13,68,3/2,1,0,5.67,5.54,5.23,3,1,41,3,4,13,0,1,1,0,0,,5,3,80.0,20.0
3802331,2026-08-31T08:50:50.496028+00:00,7,6,1,44,24*,8.8,141.94,0,0,0,7,2,2,,,7,6,7.0,0,7,84,3/7,1,0,12.0,6.0,12.0,2,1,20,3,9,7,2,0,0,0,1,,4,2,50.0,50.0
4246816,2026-08-31T08:50:50.496028+00:00,15,11,1,109,42,10.9,132.93,1,0,0,11,3,1,,,15,7,12.1,0,7,98,2/27,0,0,8.05,10.43,14.0,10,4,29,4,4,15,1,1,0,1,0,,4,1,25.0,75.0
4580403,2026-08-31T08:50:50.496028+00:00,4,3,0,27,21,9.0,135.0,0,0,0,5,0,1,,,4,,,,,,,,,,,,,,,,,4,3,2,0,0,0,,,,,
5379771,2026-08-31T08:50:50.496028+00:00,37,22,6,200,38*,12.5,122.7,2,0,0,8,17,3,,,37,23,23.1,0,14,173,2/7,0,0,7.47,9.93,12.36,13,6,72,9,10,37,16,0,2,0,2,,2,1,0.0,100.0
10589490,2026-08-31T08:50:50.496028+00:00,9,8,2,85,34,14.17,130.77,1,0,0,9,5,1,,,9,8,12.3,1,14,117,4/19,3,0,9.36,5.36,8.36,12,1,35,6,8,9,2,0,0,0,0,,,,,
16180153,2026-08-31T08:50:50.496028+00:00,89,77,12,1062,68,16.34,176.41,10,1,0,96,67,16,,,89,53,69.4,1,37,714,3/9,2,0,10.25,11.3,19.3,29,3,170,60,41,89,40,0,7,0,4,,27,13,62.96,37.04
16993605,2026-08-31T08:50:50.496028+00:00,100,72,16,922,63,16.46,124.09,7,2,0,93,18,5,,,100,16,18.2,0,8,209,2/0,0,0,11.4,13.75,26.13,7,6,41,9,19,100,22,0,8,0,0,,6,1,60.0,40.0
16994391,2026-08-31T08:50:50.496028+00:00,82,65,14,781,70*,15.31,137.26,3,2,0,81,26,5,,,82,63,139.3,0,64,1207,5/15,5,2,8.65,13.08,18.86,53,3,333,101,53,82,26,43,4,6,5,,7,5,42.86,57.14
20725715,2026-08-31T08:50:50.496028+00:00,17,9,3,26,6*,4.33,68.42,0,0,0,2,0,1,,,17,15,37.0,0,20,269,3/13,2,0,7.27,11.1,13.45,28,2,102,25,5,17,4,0,2,0,1,,2,1,0.0,100.0
24857709,2026-08-31T08:50:50.496028+00:00,13,10,3,83,24*,11.86,109.21,0,0,0,8,1,0,,,13,10,19.5,0,9,188,2/29,0,0,9.48,13.22,20.89,14,1,47,16,9,13,6,10,0,0,0,,,,,
24858042,2026-08-31T08:50:50.496028+00:00,69,44,10,245,40,7.21,80.86,1,0,0,18,5,6,,,69,11,13.0,0,8,135,2/9,0,0,10.38,9.75,16.88,12,1,27,15,2,69,9,1,1,0,0,,4,2,100.0,0.0
24889477,2026-08-31T08:50:50.496028+00:00,44,40,8,540,74*,16.88,149.17,2,3,0,37,40,3,,,44,16,21.4,0,11,253,2/6,0,0,11.68,11.82,23.0,24,9,45,24,10,44,29,2,3,0,0,,1,0,100.0,0.0
25358833,2026-08-31T08:50:50.496028+00:00,47,40,5,809,70*,23.11,147.9,7,3,0,98,17,1,,,47,2,2.0,0,2,21,1/8,0,0,10.5,6.0,10.5,3,0,7,1,2,47,18,7,2,0,0,,1,0,100.0,0.0
25474188,2026-08-31T08:50:50.496028+00:00,9,8,3,90,38*,18.0,126.76,1,0,0,9,3,0,,,9,3,3.3,0,2,53,2/16,0,0,15.14,10.5,26.5,2,5,7,3,3,9,3,2,1,0,0,,,,,
25957882,2026-08-31T08:50:50.496028+00:00,28,26,8,550,80*,30.56,200.73,3,3,0,34,53,2,,,28,21,44.4,2,22,318,4/22,1,0,7.12,12.18,14.45,31,6,144,18,18,28,18,4,2,0,1,,8,2,50.0,50.0
28452112,2026-08-31T08:50:50.496028+00:00,4,4,0,18,9,4.5,66.67,0,0,0,1,1,0,,,4,4,6.0,0,2,57,1/11,0,0,9.5,18.0,28.5,5,4,19,3,4,4,2,0,0,0,0,,,,,
30042042,2026-08-31T08:50:50.496028+00:00,203,154,38,1509,33,13.01,140.63,7,0,0,106,125,24,,,203,160,247.3,5,113,2321,5/28,3,1,9.38,13.14,20.54,160,13,697,142,171,203,82,2,10,1,3,,4,2,50.0,50.0
30533056,2026-08-31T08:50:50.496028+00:00,73,53,17,312,46,8.67,98.73,2,0,0,23,20,11,,,73,69,160.5,1,77,1363,3/7,9,0,8.47,12.53,17.7,83,9,470,121,67,73,16,0,2,0,2,,5,3,0.0,100.0
32358143,2026-08-31T08:50:50.496028+00:00,5,4,2,7,4,3.5,36.84,0,0,0,0,0,0,,,5,4,5.0,0,2,41,2/6,0,0,8.2,15.0,20.5,3,1,12,6,0,5,1,0,0,0,0,,,,,
